Baisley Park,Queens,29.36045577913085
Flushing Meadows-Corona Park,Queens,27.304845733617682
South Jamaica,Queens,26.294916239873473
Randalls Island,Manhattan,24.15098994022754
Astoria Park,Queens,21.706417112147523
Briarwood/Jamaica Hills,Queens,19.945064631789332
Springfield Gardens South,Queens,19.468309288781914
Jamaica,Queens,19.283943000137903
Corona,Queens,18.228769248155967
LaGuardia Airport,Queens,18.181338808372992
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079545
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249636
Battery Park,Manhattan,12.849780311142867
Morningside Heights,Manhattan,12.453698026584075
Battery Park City,Manhattan,12.4488484044286
Greenwich Village North,Manhattan,12.446949891694032
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
